date,open,close,high,low,volume,money,change,adjclose,symbol
2025-02-07 00:00:00,5750.29,5833.99,5889.43,5741.73,232718863.0,327949184790.5,2.57,5833.99,sh000905
2025-02-10 00:00:00,5858.24,5888.55,5895.41,5836.17,209300905.0,286253277530.5,1.02,5888.55,sh000905
2025-02-11 00:00:00,5890.37,5858.28,5890.37,5827.38,181920508.0,260281069640.5,1.07,5858.28,sh000905
2025-02-12 00:00:00,5841.36,5940.53,5940.54,5841.32,195446155.0,285438865878.9,1.69,5940.53,sh000905
2025-02-13 00:00:00,5938.2,5898.26,5957.58,5889.7,228281839.0,313080162906.2,1.14,5898.26,sh000905
2025-02-14 00:00:00,5893.93,5947.8,5954.48,5886.95,211914261.0,306627494264.1,1.14,5947.8,sh000905
2025-02-17 00:00:00,5979.84,5948.72,5985.36,5906.27,233901689.0,356940293723.8,1.33,5948.72,sh000905
2025-02-18 00:00:00,5935.5,5840.71,5947.93,5816.05,214941482.0,306905660928.8,2.22,5840.71,sh000905
2025-02-19 00:00:00,5834.95,5943.88,5945.35,5831.48,205298305.0,313960331576.5,1.95,5943.88,sh000905
2025-02-20 00:00:00,5941.6,5957.55,5977.73,5920.57,198207411.0,305885399073.0,0.96,5957.55,sh000905
2025-02-21 00:00:00,5969.65,6057.06,6061.82,5943.19,252317128.0,396960769353.7,1.99,6057.06,sh000905
2025-02-24 00:00:00,6057.38,6044.97,6079.02,6007.18,243813798.0,382362648270.6,1.19,6044.97,sh000905
2025-02-25 00:00:00,5967.04,5979.97,6044.76,5956.18,206833953.0,340316449158.0,1.47,5979.97,sh000905
2025-02-26 00:00:00,5990.29,6051.74,6055.87,5973.86,210860898.0,327265336672.0,1.37,6051.74,sh000905
2025-02-27 00:00:00,6050.19,6028.99,6064.49,5940.34,216652930.0,328254761442.7,2.05,6028.99,sh000905
2025-02-28 00:00:00,5997.92,5859.87,6007.47,5847.15,205223814.0,298290643729.1,2.66,5859.87,sh000905
2025-03-03 00:00:00,5875.95,5885.77,5964.27,5851.56,185024581.0,266955659875.8,1.92,5885.77,sh000905
2025-03-04 00:00:00,5845.47,5937.63,5943.08,5843.46,153922211.0,231145314804.5,1.69,5937.63,sh000905
2025-03-05 00:00:00,5937.11,5950.7,5955.9,5892.53,163071500.0,241738025092.7,1.07,5950.7,sh000905
2025-03-06 00:00:00,5980.38,6047.77,6062.54,5972.6,213042852.0,320542701863.5,1.51,6047.77,sh000905
2025-03-07 00:00:00,6029.38,6013.77,6067.35,5989.32,207437149.0,301122130059.3,1.29,6013.77,sh000905
2025-03-10 00:00:00,6022.68,6013.62,6041.52,5971.81,173044336.0,248513462299.4,1.16,6013.62,sh000905
2025-03-11 00:00:00,5944.42,6044.97,6044.97,5942.91,173855643.0,245205106219.3,1.7,6044.97,sh000905
2025-03-12 00:00:00,6068.38,6040.5,6098.24,6038.82,184763537.0,267906301206.6,0.98,6040.5,sh000905
2025-03-13 00:00:00,6032.85,5993.97,6050.18,5947.78,193710717.0,253622427436.4,1.7,5993.97,sh000905
2025-03-14 00:00:00,5993.97,6099.98,6099.98,5978.53,219245834.0,289038080526.0,2.03,6099.98,sh000905
2025-03-17 00:00:00,6119.61,6108.02,6129.85,6098.51,184317273.0,250160671107.9,0.51,6108.02,sh000905
2025-03-18 00:00:00,6126.04,6133.3,6161.23,6114.21,166023043.0,236342189394.2,0.77,6133.3,sh000905
2025-03-19 00:00:00,6117.42,6101.44,6128.23,6076.56,153893780.0,218871992193.0,0.84,6101.44,sh000905
2025-03-20 00:00:00,6094.84,6059.49,6109.18,6055.38,147187865.0,203849586195.9,0.88,6059.49,sh000905
2025-03-21 00:00:00,6038.99,5971.93,6071.08,5951.8,174103785.0,225801003414.7,1.97,5971.93,sh000905
2025-03-24 00:00:00,5973.05,5969.08,5987.06,5882.88,169192435.0,220094329255.6,1.74,5969.08,sh000905
2025-03-25 00:00:00,5969.42,5946.95,5993.93,5929.67,147483948.0,192227014821.0,1.08,5946.95,sh000905
2025-03-26 00:00:00,5935.85,5948.5,5983.47,5935.85,136702111.0,171695842016.5,0.8,5948.5,sh000905
2025-03-27 00:00:00,5932.52,5957.6,6000.66,5891.77,134708904.0,176590477346.0,1.83,5957.6,sh000905
2025-03-28 00:00:00,5954.73,5916.03,5973.8,5904.92,134261927.0,168899478619.3,1.16,5916.03,sh000905
2025-03-31 00:00:00,5886.96,5857.77,5908.3,5802.42,154256090.0,189563392181.2,1.79,5857.77,sh000905
2025-04-01 00:00:00,5870.94,5892.85,5931.5,5867.85,136448602.0,179327950524.9,1.09,5892.85,sh000905
2025-04-02 00:00:00,5884.89,5899.09,5936.65,5884.11,112159960.0,140642079451.3,0.89,5899.09,sh000905
2025-04-03 00:00:00,5842.62,5845.5,5906.71,5817.97,134938625.0,173662140191.8,1.5,5845.5,sh000905
2025-04-07 00:00:00,5523.96,5287.03,5587.85,5212.68,236522656.0,267397400609.4,6.42,5287.03,sh000905
2025-04-08 00:00:00,5279.76,5326.91,5371.18,5249.23,223840665.0,261875349400.4,2.31,5326.91,sh000905
2025-04-09 00:00:00,5249.68,5439.77,5465.14,5135.97,245118027.0,288257435803.9,6.18,5439.77,sh000905
2025-04-10 00:00:00,5534.56,5544.06,5610.19,5513.95,211963035.0,268666431276.5,1.77,5544.06,sh000905
2025-04-11 00:00:00,5514.19,5581.32,5631.6,5510.89,164411663.0,227659789695.8,2.18,5581.32,sh000905
2025-04-14 00:00:00,5633.78,5627.14,5661.8,5608.73,155487077.0,207470466690.5,0.95,5627.14,sh000905
2025-04-15 00:00:00,5625.0,5602.53,5626.68,5567.03,123273708.0,161900884812.5,1.06,5602.53,sh000905
2025-04-16 00:00:00,5589.78,5556.86,5592.67,5492.65,132537224.0,163751037649.9,1.79,5556.86,sh000905
2025-04-17 00:00:00,5527.59,5557.01,5604.62,5526.89,113652382.0,148283242243.4,1.4,5557.01,sh000905
2025-04-18 00:00:00,5546.97,5560.72,5579.48,5525.4,111644258.0,139804146811.9,0.97,5560.72,sh000905
2025-04-21 00:00:00,5556.51,5642.38,5646.22,5535.7,123111883.0,160264813233.9,1.99,5642.38,sh000905
2025-04-22 00:00:00,5634.89,5624.21,5651.55,5617.88,124666689.0,164464321326.5,0.6,5624.21,sh000905
2025-04-23 00:00:00,5647.91,5634.95,5670.26,5614.77,127007764.0,177991292765.2,0.99,5634.95,sh000905
2025-04-24 00:00:00,5633.02,5605.88,5651.53,5583.43,122696696.0,157899194340.6,1.21,5605.88,sh000905
2025-04-25 00:00:00,5613.14,5627.18,5661.59,5596.53,140000800.0,171933817273.4,1.16,5627.18,sh000905
2025-04-28 00:00:00,5624.42,5598.3,5628.08,5587.79,136218094.0,167616287077.3,0.72,5598.3,sh000905
2025-04-29 00:00:00,5583.72,5604.91,5622.02,5571.24,126742927.0,158033003939.8,0.91,5604.91,sh000905
2025-04-30 00:00:00,5604.65,5631.82,5647.78,5603.17,138386621.0,181616584522.5,0.8,5631.82,sh000905
2025-05-06 00:00:00,5668.88,5740.33,5740.33,5666.47,162773606.0,217059975785.3,1.31,5740.33,sh000905
2025-05-07 00:00:00,5805.66,5750.29,5819.24,5713.27,171011757.0,227566204818.1,1.85,5750.29,sh000905
2025-05-08 00:00:00,5731.72,5773.81,5783.79,5724.95,136140322.0,187032631458.8,1.02,5773.81,sh000905
2025-05-09 00:00:00,5770.44,5721.72,5770.44,5705.17,123939007.0,178162276679.5,1.13,5721.72,sh000905
2025-05-12 00:00:00,5751.44,5793.67,5794.52,5737.46,135824367.0,199426833721.2,1.0,5793.67,sh000905
2025-05-13 00:00:00,5838.03,5781.67,5838.03,5772.07,138271081.0,194252270526.7,1.14,5781.67,sh000905
2025-05-14 00:00:00,5778.08,5799.12,5835.49,5750.54,156279994.0,188145126840.3,1.47,5799.12,sh000905
2025-05-15 00:00:00,5786.78,5715.3,5786.78,5715.29,135160768.0,165136693963.9,1.23,5715.3,sh000905
2025-05-16 00:00:00,5703.74,5715.85,5735.01,5703.74,116709136.0,141882122895.5,0.55,5715.85,sh000905
2025-05-19 00:00:00,5719.44,5720.79,5729.07,5669.72,115384939.0,141098692009.1,1.04,5720.79,sh000905
2025-05-20 00:00:00,5723.51,5747.37,5759.46,5707.81,116896615.0,151751185853.6,0.9,5747.37,sh000905
2025-05-21 00:00:00,5741.69,5757.92,5763.08,5733.83,115804542.0,155147378006.4,0.51,5757.92,sh000905
2025-05-22 00:00:00,5739.19,5703.28,5757.79,5701.16,109057720.0,141620883824.3,0.98,5703.28,sh000905
2025-05-23 00:00:00,5697.14,5653.04,5738.08,5653.04,114361198.0,148123602870.9,1.49,5653.04,sh000905
2025-05-26 00:00:00,5653.21,5669.46,5693.63,5644.58,97170989.0,127343603493.8,0.87,5669.46,sh000905
2025-05-27 00:00:00,5666.3,5652.15,5667.87,5629.13,95149363.0,125275690002.2,0.68,5652.15,sh000905
2025-05-28 00:00:00,5651.88,5637.24,5660.47,5628.42,94908883.0,119959827369.0,0.57,5637.24,sh000905
